UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/5.0 (Macintosh; ?; PPC; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,MacPPC,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win 9x 4.90; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win3.11; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Win16,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win95; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win98; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.0; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.1; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; WinNT4.0; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; FreeBSD i386; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,FreeBSD,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; Linux i?86; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla 1.1],Mozilla 1.1,Mozilla,1.1,1,1,,,2,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false
[Mozilla/5.0 (Macintosh; ?; 68K; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Mac68K,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; PPC Mac OS X; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; PPC; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,MacPPC,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
